酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
宜兰采亨民宿,K2qSnGMIogU,16211,10819,7006325,台湾
宜兰乐夏19,jWHFLUdZP7c,16211,15325,8285913,台湾
酷酷嫂的家,Phz_3jHjvpM,16211,10222,8284430,台湾
运动家民宿,MtJS87BRe7I,16211,10222,8286452,台湾
大粒丸民宿,cuS__qK7QuU,16211,16211,6579062,台湾
红烟囱民宿,M4_l9ko0Uuk,16211,16211,8285939,台湾
宜兰松满缘,_h90DyxRJPM,16211,16211,7006175,台湾
筑梦屋民宿,U4GBm0XC4Y0,16211,15325,8284157,台湾
宜兰欧嗨优小栈,yx3-YeH5Frk,16211,15325,8286579,台湾
英伦印度民宿,TX7eMq3ykxo,16211,10222,8285352,台湾
宜兰绿之园民宿,ZrfNfaLQin0,16211,16211,8284298,台湾
宜兰蜜糖民宿,1EKB7z0f8hc,16211,16211,8285765,台湾
驿宿莺歌民宿,a0lsHbYvQOM,58705,62975,8283828,台湾
塔卡的家民宿,oDA11GZHNoM,62975,15325,6496858,台湾
岭脚火车站民宿,XfoCVLSSVCA,62975,15325,8286809,台湾
福隆福容大饭店,z31WxDodW3g,62975,10819,92508,台湾
双臻园民宿,-XRL-xKJznE,62975,10819,8282776,台湾
日月潭富豪群度假民宿,rBFSe7CS-iM,12594,10819,6116649,台湾
日月潭一斗梦艺栈民宿,QMpqx6cKeQo,12594,10222,8283176,台湾
日月潭建成优质民宿,A1G570WCOMA,11067,10222,6151459,台湾
清境云舞楼民宿,zwvRGCx33jw,12594,15325,6496471,台湾
大汉居民宿,X4QfL91tnhI,11067,15325,6581797,台湾
蜜月楼度假饭店,HEZxfMObnlU,11067,15325,6120334,台湾
